id,Nama Restoran,Preferensi Makanan,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Variasi Makanan
58,"Sushi Yay, Selokan Yogya",Japanese,82000,4.7,Santai,"Japanese, Rice, Fast food, Chicken & duck"
59,Tanoshi Bedjo Homestay,Japanese,66000,4.5,Santai,"Japanese, Rice, Sate"
60,Kantin Siap Saji Zupa Soup The Eifel,Western,22000,3.9,Santai,"Pizza & pasta, Rice, Western"
61,Penyetan Ayam Bakar Dan Suki Tomyam Yss Food,Japanese,32000,4.8,Santai,"Rice, Chicken & duck, Japanese"
62,"Bento Yay, Selokan Yogya",Japanese,58000,4.7,Formal,"Rice, Japanese, Chicken & duck"
63,"Nikkou Ramen, Pakualaman",Japanese,32000,4.2,Santai,"Rice, Noodles, Japanese"
64,"d'Sushi & Takoyaki, Rejodadi Sidorejo",Japanese,34000,4.4,Santai,"Rice, Snacks, Japanese"
65,"Wangoen Zuppa Soup, Umbulharjo",Western,20000,4.7,Santai,"Snacks, Western"
66,"Burgerax, Prawirotaman",Western,38000,4.7,Santai,"Snacks, Western, Fast food"
67,"Kedai Jagoan Moy-Moy, Tamsis",Chinese,12000,4.7,Santai,"Sweets, Chinese"
68,"Waroeng Steak and Shake, Demangan",Western,40000,4.7,Santai,Western
69,"Waroeng Steak and Shake, Jalan Bantul",Western,40000,4.7,Santai,Western
70,"Spark Resto And Sports Bar, Prawirotaman",Western,36000,4.7,Santai,"Western, Beverages, Sate"
71,"Dapur Mamika, Jl Sisingamangaraja Gg Menur",Western,18000,3.9,Santai,"Western, Chicken & duck, Rice"
72,"Burgerax, Demangan Baru",Western,38000,4.6,Santai,"Western, Snacks, Fast food"
73,"Pawon Mbokdis, Mantrigawen Lor",Japanese,20000,4.6,Santai,"Aneka nasi, Bakmie, Chinese"
74,"Rm & Seafood 99, Sorowajan",Chinese,22000,4.2,Santai,"Aneka nasi, Bakmie, Chinese"
75,"Pecel Lele, Rawon Dan Soto Lamongan Yuk In, Giwangan, Umbulharjo",Indonesia,15000,3.9,Santai,"Aneka nasi, Bakso & soto"
76,"Ayam Geprek DBC, Beskalan",Indonesia,21000,4.7,Santai,"Aneka nasi, Bakso & soto, Ayam & bebek, Minuman"
77,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli",Chinese,25000,4.5,Santai,"Aneka nasi, Chinese, Bakmie"
78,"Soto Ayam 61, Gondomanan",Indonesia,19000,4.5,Santai,"Ayam & bebek, Bakso & soto"
79,"Seblak Mang Cepot & Baso Aci Hoax, Umbulharjo",Indonesia,19000,4.6,Santai,"Ayam & bebek, Bakso & soto, Cepat saji"
80,"Buttersweet, Saman Utara",Western,20000,3.9,Santai,"Bakery, Beverages, Western"
81,"Bakso Lontong Djeng Thathit, Suryodiningratan",Indonesia,16000,4.0,Santai,Bakso & soto
82,"Bakso Urat Arema Soringin, Langensari",Indonesia,19000,4.4,Santai,Bakso & soto
83,"Bakso Urat Cak Ari, Mataram",Indonesia,20000,4.5,Santai,Bakso & soto
84,"Soto Daging Lamongan Cak Ngun, Jl. Veteran No 212 Umbulharjo",Indonesia,24000,4.5,Santai,Bakso & soto
85,"Agenda Resto & Vibes, Arkadia",Western,48000,4.3,Santai,"Beverages, Pizza & pasta, Western"
86,Raja Sate & Soto,Indonesia,27000,4.9,Santai,"Cepat saji, Sate, Bakso & soto"
87,CHICKATS,Japanese,25000,4.7,Santai,"Chicken & duck, Rice, Japanese"
88,Chinese Food / Sea Food Kondang,Chinese,31000,4.8,Santai,"Chinese, Ayam & bebek, Seafood"
89,Suguhand Cafe,Western,111000,4.4,Santai,"Coffee, Western, Pizza & pasta"
90,"HokBen, Kaliurang",Japanese,49000,4.8,Formal,"Fast food, Japanese"
91,"Pop Mart, Laksda Adi Sucipto (Korner)",Western,22000,4.7,Santai,"Fast food, Western, Coffee"
92,"Tahu Walik & Soto Warisan, Masjid Umbulharjo",Indonesia,19000,4.6,Santai,"Jajanan, Cepat saji, Bakso & soto"
93,"HokBen Kitchen, Brontokusuman Parangtritis",Japanese,49000,4.8,Formal,"Japanese, Fast food"
94,"Hakata Ikkousha, Demangan Baru",Japanese,80000,4.7,Formal,"Japanese, Noodles"
