id,Nama Restoran,Preferensi Makanan,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Variasi Makanan
248,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta",Western,24000,4.5,Santai,"Chicken & duck, Western"
249,"Petit Paris Boulangerie and Bistro, Kotabaru",Western,103000,4.5,Formal,"Chicken & duck, Western, Fast food"
250,"A&M Co. Express, Jogja",Japanese,75000,4.6,Formal,"Fast food, Japanese"
251,"Ayam Serundeng, Nitikan",Indonesia,21000,4.6,Santai,"Jajanan, Aneka nasi, Bakso & soto"
252,"Hakata Ikkousha, Hartono Mall",Japanese,64000,4.6,Formal,Japanese
253,"Shigeru Sushi, Pakuwon Mall Yogyakarta",Japanese,50000,4.5,Formal,Japanese
254,"Kimukatsu, Hartono Mall",Japanese,67000,4.8,Formal,"Japanese, Rice, Chicken & duck"
255,"Beef Mafia, Selokan Yogya",Japanese,70000,4.8,Formal,"Japanese, Rice, Fast food, Chicken & duck"
256,"Genki Sushi, Plaza Ambarrukmo",Japanese,58000,4.7,Formal,"Japanese, Rice, Snacks"
257,"K'Meals Bar & Restaurant, Prawirotaman",Western,40000,4.8,Formal,"Pizza & pasta, Beverages, Western"
258,"Ganbate Kitchen, Widya Mataram",Japanese,31000,4.4,Santai,"Rice, Chicken & duck, Japanese"
259,"AB Oriental Streetfood, Pedak",Japanese,32000,4.7,Santai,"Rice, Fast food, Japanese"
260,"Steak Moen-Moen, Galeria Mall",Western,26000,4.4,Formal,Western
261,"Steak Up, Mlati",Western,88000,4.6,Santai,Western
262,"Kebab Burger 26, Kotagede",Western,19000,4.3,Santai,"Western, Fast food"
263,"Pothz Burger, STM Pembangunan",Western,27000,4.6,Santai,"Western, Fast food"
264,Warung Buto,Chinese,43000,4.7,Santai,"Aneka nasi, Chinese, Sate"
265,"Mie Surabaya Pak Joko, Gedongkuning Selatan",Chinese,18000,4.7,Santai,"Bakmie, Aneka nasi, Chinese"
266,Bakso Dan Mie Ayam Barokah 354 Sor Talok,Indonesia,16000,4.6,Santai,"Bakmie, Bakso & soto"
267,"Mie Kepang Jayakarta, Kusumanegara",Indonesia,42000,4.6,Santai,"Bakmie, Jajanan, Bakso & soto"
268,Warung Sop dan Tongseng Ayam Family,Indonesia,17000,4.2,Santai,"Bakso & soto, Ayam & bebek"
269,"Ono Dimsum, Timoho",Indonesia,17000,4.6,Santai,"Bakso & soto, Cepat saji, Jajanan"
270,Bakso Dan Seblak Asgar,Indonesia,17000,4.6,Santai,"Bakso & soto, Cepat saji, Minuman"
271,"Tanamera Coffee Roastery, Yogyakarta",Western,75000,4.5,Santai,"Beverages, Coffee, Western"
272,"Rembo Chick n Steak, Mantrijeron",Western,15000,3.4,Santai,"Chicken & duck, Western, Fast food"
273,"Oase Cafe & Coffe, Mergangsan",Chinese,22000,4.6,Santai,"Chinese, Aneka nasi, Bakmie"
274,Rumah Makan Echo Roso 1,Chinese,27000,4.6,Santai,"Chinese, Aneka nasi, Seafood"
275,"Vegan Fortunate Coffee, Jogonegaran",Western,45000,4.8,Santai,"Coffee, Western, Beverages"
276,"Onoki Mentai, Depok",Japanese,45000,4.8,Santai,"Fast food, Japanese, Rice"
277,"Banzai!, Seturan",Japanese,49000,4.7,Formal,Japanese
278,"Ichiban Sushi, Plaza Ambarrukmo",Japanese,52000,4.6,Formal,Japanese
279,Umami House Sushi & Dry Ramen,Japanese,21000,4.5,Santai,Japanese
280,"Zutto Sushi Homemade, Elang",Japanese,30000,4.4,Santai,Japanese
281,"Marugame Udon & Tempura, Plaza Ambarrukmo",Japanese,68000,4.8,Formal,"Japanese, Noodles"
282,"Warunk Sushi Condong Catur, Depok",Japanese,44000,4.6,Santai,"Rice, Fast food, Japanese"
283,Takoyaki Kuliner Lor Tugu,Japanese,22000,4.2,Santai,"Snacks, Beverages, Japanese"
284,"Lawson Shop, Mantrijeron",Japanese,44000,4.4,Formal,"Snacks, Beverages, Japanese, Coffee, Korean"
285,"Veno'S Burger, Mergangsan",Western,40000,4.1,Santai,"Snacks, Fast food, Western"
286,OMAH STEAK AND CHICKEN,Western,34000,4.7,Santai,Western
287,"Pondok Cabe Bistro, C Simanjuntak",Western,35000,4.5,Santai,"Western, Pizza & pasta, Rice, Chicken & duck, Bakso & soto"
288,Waroeng Spaghetti Balapan,Western,25000,4.7,Santai,"Western, Snacks"
289,"Burgerax, Patangpuluhan",Western,38000,4.7,Santai,"Western, Snacks, Fast food"
290,"Shaburi & Kintan Buffet, Ambarukmo Plaza Yogya",Japanese,330000,4.8,Formal,"Japanese, Rice, Chicken & duck"
